name,location,time,total_capacity_kwp,gti,gti_low,gti_high,ghi
Cromwell Tools,Midlands,01/08/2025,999.8,252.0619216343269,168.63215973194636,337.3901599319864,255.1105
Cromwell Tools,Midlands,01/09/2025,999.8,179.17421414282856,110.28599864972996,249.5785468593719,180.67300000000003
Cromwell Tools,Midlands,01/10/2025,999.8,83.06900425085018,42.78679580916184,126.16061807361473,84.00650000000002
Cromwell Tools,Midlands,01/11/2025,999.8,55.27550355071014,31.921908181636333,79.62997449489899,55.4185
Cromwell Tools,Midlands,01/12/2025,999.8,34.5856425785157,19.47853315663133,50.92971519303861,34.73
Cromwell Tools,Midlands,01/01/2026,999.8,20.91932719043809,11.523396529305863,30.91987139927986,20.99575
Hibernian Stadium,Scotland,01/01/2025,116.64,31.496,17.1865,45.991,35.8195
Hibernian Stadium,Scotland,01/02/2025,116.64,54.288,30.6535,80.22,58.4825
Hibernian Stadium,Scotland,01/03/2025,116.64,142.9005,101.544,184.6255,150.473
Hibernian Stadium,Scotland,01/04/2025,116.64,228.4425,176.4995,282.1745,238.81649999999996
Hibernian Stadium,Scotland,01/05/2025,116.64,359.8505,277.107,439.381,368.308
Hibernian Stadium,Scotland,01/06/2025,116.64,292.943,190.6905,398.3715,296.8330000000001
Hibernian Stadium,Scotland,01/07/2025,116.64,275.9475,186.8555,370.2965,280.6055
Hibernian Stadium,Scotland,01/08/2025,116.64,251.39225,171.702,329.8315,258.261
Hibernian Stadium,Scotland,01/09/2025,116.64,158.744,97.34650000000002,221.194,162.6925
Hibernian Stadium,Scotland,01/10/2025,116.64,75.2375,45.532000000000004,106.8585,80.085
Hibernian Stadium,Scotland,01/11/2025,116.64,37.9265,21.258,56.076,42.1965
Hibernian Stadium,Scotland,01/12/2025,116.64,19.385,8.8745,31.011,21.828
Hibernian Stadium,Scotland,01/01/2026,116.64,13.31475,6.81,20.70725,15.25125
Hibernian Training Ground,Scotland,01/01/2025,89.91,51.15618468468468,29.289752252252256,70.3854009009009,37.4835
Hibernian Training Ground,Scotland,01/02/2025,89.91,75.49124324324325,46.78968918918918,103.65480180180181,62.73500000000001
Hibernian Training Ground,Scotland,01/03/2025,89.91,172.2826891891892,127.76735585585585,216.29550900900898,153.173
Hibernian Training Ground,Scotland,01/04/2025,89.91,256.72103153153154,199.72222522522526,314.26958558558556,238.051
Hibernian Training Ground,Scotland,01/05/2025,89.91,390.6196486486487,309.68088738738743,469.6369864864865,372.986
Hibernian Training Ground,Scotland,01/06/2025,89.91,302.77339189189195,198.36712612612615,409.2778603603604,297.485
Hibernian Training Ground,Scotland,01/07/2025,89.91,288.5136846846847,199.01493243243243,382.647954954955,282.174
Hibernian Training Ground,Scotland,01/08/2025,89.91,278.89209684684687,197.33300675675676,359.64584684684684,264.96425
Hibernian Training Ground,Scotland,01/09/2025,89.91,187.24560360360363,122.31670720720722,252.34424774774777,170.4005
Hibernian Training Ground,Scotland,01/10/2025,89.91,95.48054054054055,61.13950450450451,130.35934684684688,82.9635
Hibernian Training Ground,Scotland,01/11/2025,89.91,54.83546396396396,31.01728828828829,78.4085900900901,42.631
Hibernian Training Ground,Scotland,01/12/2025,89.91,28.72566216216216,13.964274774774776,43.57964864864865,21.862
Hibernian Training Ground,Scotland,01/01/2026,89.91,19.205180180180182,10.435824324324326,28.339211711711712,14.417250000000001
Merry Hill,Midlands,01/01/2025,976.48,57.81772690684909,34.79962018167294,80.49980374406029,46.866
Merry Hill,Midlands,01/02/2025,976.48,77.55081082049813,47.689511444166804,109.59562495903654,67.81
Merry Hill,Midlands,01/03/2025,976.48,200.95942085859411,154.22763219420776,246.760503113223,181.85499999999996
Merry Hill,Midlands,01/04/2025,976.48,298.2803047630264,246.36084591594297,350.1599006636081,280.18549999999993
Merry Hill,Midlands,01/05/2025,976.48,340.839525934991,253.94440389972144,427.70873615947073,331.4445
Merry Hill,Midlands,01/06/2025,976.48,337.7131180822956,236.90853942733082,441.3541315183106,331.66299999999995
Merry Hill,Midlands,01/07/2025,976.48,313.47807602306244,215.80912929604293,415.9558625266262,306.452
Merry Hill,Midlands,01/08/2025,976.48,278.98514439107817,191.2632417356218,368.2682746190398,267.00875
Merry Hill,Midlands,01/09/2025,976.48,191.1514991397673,118.34402737895297,264.7258550968786,178.61999999999998
Merry Hill,Midlands,01/10/2025,976.48,88.06277377928886,43.82706042110438,133.7446991643454,81.713
Merry Hill,Midlands,01/11/2025,976.48,65.89462821563166,37.68954095834016,94.17310181980173,54.363499999999995
Merry Hill,Midlands,01/12/2025,976.48,44.16739013087825,24.3185260630018,64.19641393064886,35.22449999999999
Merry Hill,Midlands,01/01/2026,976.48,25.63440131902343,13.603854441463215,38.132016495473536,21.162749999999996
Metro Centre,North East,01/01/2025,739.53,43.9585,26.626499999999997,59.872749999999996,44.0205
Metro Centre,North East,01/02/2025,739.53,62.68925,38.091,90.17099999999999,63.169000000000004
Metro Centre,North East,01/03/2025,739.53,155.20475,108.00025,202.79675,156.609
Metro Centre,North East,01/04/2025,739.53,244.1425,191.563,296.72024999999996,246.4215
Metro Centre,North East,01/05/2025,739.53,336.65999999999997,255.59025,416.3175,339.7025
Metro Centre,North East,01/06/2025,739.53,310.407,204.40500000000003,419.1535,313.511
Metro Centre,North East,01/07/2025,739.53,269.90574999999995,176.386,370.05775,272.6135
Metro Centre,North East,01/08/2025,739.53,248.110625,169.67387499999998,328.13225,250.457
Metro Centre,North East,01/09/2025,739.53,167.11625,102.09525,234.7745,168.558
Metro Centre,North East,01/10/2025,739.53,95.33475,59.675250000000005,130.9335,96.107
Metro Centre,North East,01/11/2025,739.53,44.059999999999995,22.02775,67.47675,44.3425
Metro Centre,North East,01/12/2025,739.53,24.864750000000004,12.39875,38.27375,24.994
Metro Centre,North East,01/01/2026,739.53,15.413125,8.306875,23.85375,15.47025
Sheldons Bakery,North West,01/01/2025,226.35000000000002,41.111916500994035,22.080461232604375,60.87726043737574,41.2615
Sheldons Bakery,North West,01/02/2025,226.35000000000002,65.46356361829025,38.07995626242545,96.08600695825048,65.70899999999999
Sheldons Bakery,North West,01/03/2025,226.35000000000002,171.23890159045723,125.78748111332007,216.38162425447314,171.75949999999997
Sheldons Bakery,North West,01/04/2025,226.35000000000002,279.48060139165005,231.01490556660036,327.69369582504964,280.059
Sheldons Bakery,North West,01/05/2025,226.35000000000002,349.95371570576543,271.86009145129225,429.24424055666,350.62999999999994
Sheldons Bakery,North West,01/06/2025,226.35000000000002,289.425486083499,186.07284194831013,398.766217693837,290.3815
Sheldons Bakery,North West,01/07/2025,226.35000000000002,273.21411729622264,175.23102584493043,378.03693538767396,274.0855
Sheldons Bakery,North West,01/08/2025,226.35000000000002,239.30465805168987,153.9842286282306,328.3985844930417,240.05924999999996
Sheldons Bakery,North West,01/09/2025,226.35000000000002,157.8013111332008,91.97777534791253,227.50586182902583,158.3325
Sheldons Bakery,North West,01/10/2025,226.35000000000002,75.20800397614313,36.86661829025845,115.95121172962226,75.6085
Sheldons Bakery,North West,01/11/2025,226.35000000000002,48.14367693836978,25.294361829025846,73.21594135188866,48.33
Sheldons Bakery,North West,01/12/2025,226.35000000000002,31.33718687872763,15.235252485089463,48.14323260437376,31.496499999999997
Sheldons Bakery,North West,01/01/2026,226.35000000000002,20.0854935387674,10.92342097415507,29.837882206759442,20.15975
