Site,Month,Year,Latitude,Longitude,Total_Capacity_kWp,Num_Arrays,Total_Hours,Daytime_Hours,PVGIS_Mean_GTI_Wm2,SolarGIS_Mean_GTI_Wm2,Mean_Diff_Wm2,Mean_Diff_Pct,RMSE_Wm2,Correlation,PVGIS_Total_kWhm2,SolarGIS_Total_kWhm2
Hibernian Training Ground,5,2025,55.92078,-2.9289362,89.91,3,744,481,384.7779506705883,405.6926776048398,-20.91472693425142,10.509127282115935,266.45715313236576,0.6002145430477365,185.2835139777974,195.30982432432432
Oasis - Wintringham,5,2025,53.5487,-0.0812,168.48,4,744,475,414.3957166301871,357.4448836032388,56.95083302694821,37.27990469494074,225.66648492757508,0.6614110180523504,197.2018444555727,169.93759855769233
Sheldons Bakery,5,2025,53.47693,-2.1852183,226.35,2,744,477,416.70426201751343,366.56539067481896,50.13887134269445,37.49998619004669,249.9607131829454,0.6413795546067221,198.9723804122905,174.97685785288272
Hibernian Stadium,5,2025,55.9619,-3.1653037,116.64,1,744,485,417.2506220484245,370.6824742268041,46.56814782162038,28.21129415429579,202.8874683849813,0.7430686523705168,202.48651508847993,179.92525
Oasis - Immingham,6,2025,53.614574,-0.21134,207.0,3,720,478,337.1684330654882,367.0171684555212,-29.84873539003296,10.165875600780051,203.87960831330363,0.6566685882762899,161.39017438991152,175.59090217391307
Parfetts - Birmingham,6,2025,52.456444,-1.835168,246.45,2,720,486,309.24822408154074,558.483904155051,-249.23568007351034,-33.25915368622502,402.1500181953083,0.5827101724968201,150.37636136034922,271.54215000000005
Hibernian Training Ground,6,2025,55.92078,-2.9289362,89.91,3,720,490,320.87240724248466,308.6883434454863,12.184063796998352,32.75013952613077,206.2376660678209,0.6293851892607657,157.5223208267056,151.38669594594595
Hazelwick School,6,2025,51.124912,-0.165185,224.94,3,720,475,313.74461671001717,386.1655031751157,-72.42088646509848,-8.600045068783553,232.83371811667035,0.6493306207237072,149.05847124519687,183.49625051124744
Oasis - John Williams,6,2025,51.4196,-2.5663,153.26999999999998,2,480,317,321.7045963621703,405.3389361138537,-83.63433975168331,-9.708400418797497,225.81419545470098,0.6558278920009235,102.05538104302795,128.62874745547074
Oasis - Short Heath,7,2025,52.53421,-1.8582243,45.900000000000006,2,744,479,331.4818619929789,332.16651111384004,-0.6846491208611638,18.466947418132172,223.53777444649666,0.6245834966935462,158.83312124843337,159.2975088235294
Finlay Beverages,7,2025,53.60353,-1.28,1034.4,2,744,485,284.032870627166,292.1004126103284,-8.067541983162378,30.80059569640277,235.76473217922972,0.3634023968403775,137.9031712638271,141.82518822505799
Oasis - New Oak,7,2025,51.42044,-2.569186,48.6,2,672,432,333.7002220835796,371.80497685185185,-38.10475476827228,7.525058636973826,234.65635068433514,0.6334317916981602,144.2493168585284,160.76483333333334
Metro Centre,7,2025,54.95851,-1.6703782,739.53,2,744,485,304.3377799117736,277.9067010309278,26.431078880845725,45.070040777886824,193.70700528352384,0.5949120334869331,147.9049880135676,134.952875
City Football Group Phase 1,7,2025,53.48012,-2.1889446,2205.5,9,744,479,325.30690781309477,285.6533864555711,39.65352135752362,35.82642945754737,218.30067571772747,0.5595799320542209,156.094728952349,137.03434260701255
Oasis - Pinewood,8,2025,51.610306,0.16310771,45.36,3,744,432,346.0276088137095,335.78153935185185,10.24606946185764,26.519380883947992,240.84448141584195,0.5461504737049279,149.64176811702177,145.18487500000003
Oasis - Isle of Sheppey West,8,2025,51.4205,0.7853,145.8,3,744,438,369.32147649021806,524.6404109589041,-155.31893446868597,-19.79431464584974,316.3350426063792,0.6728029796132331,161.81099181748286,229.92585555555556
Oasis - Parkwood,8,2025,53.57831,-0.68111324,17.82,2,744,441,325.67346522966807,485.52898886827455,-159.85552363860657,-20.828502580974938,345.74871859494647,0.5443654900772108,143.78903880873517,214.24357954545454
Oasis - Wintringham,8,2025,53.5487,-0.0812,168.48,4,744,433,294.8101352778922,279.17570838514837,15.634426892743832,26.626844195664404,212.98506922219073,0.47415232097648974,127.85842215364625,121.02363461538462
City Football Group Phase 1,8,2025,53.48012,-2.1889446,2205.5,9,744,439,270.2169077361668,272.71691515671375,-2.500007420546977,18.502583941361653,225.6820779429617,0.46088659724571757,118.766946996504,119.8251880639311
Oasis - Isle of Sheppey East,9,2025,51.4205,0.7853,198.72,2,720,367,334.0440940609052,320.3048365122616,13.739257548643645,36.34112598757805,204.94570169853327,0.6157938304102529,122.77540939363745,117.6925
Metro Centre,9,2025,54.95851,-1.6703782,739.53,2,720,367,226.50423873497678,227.3784059945504,-0.8741672595736341,13.298010611083047,152.00781958555228,0.5596286349282135,83.21931856336121,83.558125
Oasis - Connaught,9,2025,51.427967,-2.587576,57.78,2,720,366,300.66408497983815,319.45969945355193,-18.795614473713737,28.577464635189784,247.01268550573127,0.4843121986933772,110.14997158295174,117.0315
Blachford,9,2025,53.19191,-1.351108,333.0,3,720,367,266.89289874822873,244.97480668679583,21.918092061432965,33.95251110970541,177.05626981007862,0.5434533905537153,98.0356718667217,90.00546621621623
Hibernian Training Ground,9,2025,55.92078,-2.9289362,89.91,3,720,365,240.23541088789568,256.1910403554239,-15.955629467528258,26.438273231268116,197.9713598341812,0.406804246878397,87.89982000025059,93.6228018018018
Oasis - John Williams,10,2025,51.4196,-2.5663,153.26999999999998,2,744,315,183.4599096275607,144.0515509511693,39.40835867639143,58.40090271434098,133.24250430019669,0.4225704083063104,58.04760366598037,45.505288804071256
BAE Fylde,10,2025,53.77,-2.89,1676.7000000000005,4,744,331,210.95437146528056,756.3532980866062,-545.3989266213257,-62.00888430268947,815.68349505388,0.4641426063482161,69.87601700771661,250.41900277777773
Oasis - Henderson Avenue,10,2025,52.3536,0.3938,75.06,1,744,313,209.04645128274552,158.56309904153355,50.48335224121198,76.03387464007282,174.56361727174863,0.33888761450783433,65.6095398836082,49.769
Hazelwick School,10,2025,51.124912,-0.165185,224.94,3,744,317,183.56799749293208,182.19173553185863,1.3762619610734628,36.61161926872547,157.7615713257478,0.4012754959676849,58.3512323703651,57.883548057259716
Oasis - Bank Leaze,10,2025,51.3927,-2.39,49.68,1,744,317,224.94651985788278,152.66009463722398,72.28642522065877,92.04276133309655,159.5213397314287,0.5082958915957642,71.59675729459317,48.501
WALC Adult Learning Centre,11,2025,53.49956,-2.525587,50.4,1,48,16,109.06518545461813,108.9375,0.12768545461812586,40.10254824820902,58.31925024086625,0.7610782845882459,1.7453931220464252,1.7445
Oasis - Bank Leaze,11,2025,51.3927,-2.39,49.68,1,720,251,170.54592439234932,148.59860557768926,21.947318814660054,81.84848227438955,139.30219438633364,0.387597878271777,42.96531186971177,37.3945
Bannatynes Darlington Head Office,11,2025,54.527344,-1.5457069,52.35,2,288,93,66.22644291385365,96.12250053917492,-29.89605762532126,-6.8258639688290454,69.19271641103984,0.5182172549938125,6.201650203844532,8.948642550143266
Iceland Shrewsbury,11,2025,52.689774,-2.751485,100.5,2,48,16,101.674868813109,160.99385883084577,-59.318990017736766,-42.37201127959298,103.19560233181844,0.5964367154628215,1.6278412426839624,2.5809017412935322
Metro Centre,11,2025,54.95851,-1.6703782,739.53,2,720,238,110.58547482798029,92.24422268907563,18.341252138904668,47.35926708151346,74.89282139803736,0.5186037638393273,26.49492767523774,22.03
