Site,Month,Year,Latitude,Longitude,Total_Capacity_kWp,Num_Arrays,Total_Hours,Daytime_Hours,PVGIS_Mean_GTI_Wm2,SolarGIS_Mean_GTI_Wm2,Mean_Diff_Wm2,Mean_Diff_Pct,RMSE_Wm2,Correlation,PVGIS_Total_kWhm2,SolarGIS_Total_kWhm2,Pct_Diff,RMSE_Ratio
Metro Centre,7,2025,54.95851,-1.6703782,739.53,2,744,485,304.3377799117736,277.9067010309278,26.431078880845725,45.07004077788682,193.70700528352384,0.5949120334869331,147.9049880135676,134.952875,9.510774221275192,0.6970217147155674
City Football Group Phase 1,7,2025,53.48012,-2.1889446,2205.5,9,744,479,325.3069078130948,285.6533864555711,39.65352135752362,35.82642945754737,218.30067571772747,0.5595799320542209,156.094728952349,137.03434260701255,13.881691321622483,0.7642152555110028
Oasis - Pinewood,8,2025,51.610306,0.16310771,45.36,3,744,432,346.0276088137095,335.78153935185185,10.24606946185764,26.519380883947992,240.84448141584195,0.5461504737049279,149.64176811702177,145.18487500000003,3.051409401968702,0.7172654038120625
Oasis - Isle of Sheppey West,8,2025,51.4205,0.7853,145.8,3,744,438,369.32147649021806,524.6404109589041,-155.31893446868597,-19.79431464584974,316.3350426063792,0.6728029796132331,161.81099181748286,229.9258555555556,-29.604836231506464,0.6029559218059514
Oasis - Parkwood,8,2025,53.57831,-0.68111324,17.82,2,744,441,325.67346522966807,485.52898886827455,-159.85552363860657,-20.828502580974934,345.74871859494647,0.5443654900772108,143.78903880873517,214.2435795454545,-32.923991626373464,0.7121072614033951
Oasis - Wintringham,8,2025,53.5487,-0.0812,168.48,4,744,433,294.8101352778922,279.1757083851484,15.634426892743832,26.626844195664404,212.98506922219076,0.4741523209764897,127.85842215364625,121.02363461538462,5.600210341787559,0.7629068820284263
City Football Group Phase 1,8,2025,53.48012,-2.1889446,2205.5,9,744,439,270.2169077361668,272.7169151567137,-2.500007420546977,18.502583941361653,225.6820779429617,0.4608865972457175,118.766946996504,119.8251880639311,-0.9167042019048657,0.8275323802825947
Oasis - Isle of Sheppey East,9,2025,51.4205,0.7853,198.72,2,720,367,334.0440940609052,320.3048365122616,13.739257548643645,36.34112598757805,204.94570169853327,0.6157938304102529,122.77540939363745,117.6925,4.289431810723732,0.6398457916844091
Metro Centre,9,2025,54.95851,-1.6703782,739.53,2,720,367,226.5042387349768,227.3784059945504,-0.8741672595736341,13.298010611083049,152.00781958555228,0.5596286349282135,83.21931856336121,83.558125,-0.3844548279551874,0.6685235518327781
Oasis - Connaught,9,2025,51.427967,-2.587576,57.78,2,720,366,300.6640849798381,319.45969945355193,-18.795614473713737,28.577464635189784,247.01268550573127,0.4843121986933772,110.14997158295174,117.0315,-5.883563562435093,0.7732201774691955
Blachford,9,2025,53.19191,-1.351108,333.0,3,720,367,266.8928987482288,244.97480668679583,21.918092061432965,33.95251110970541,177.05626981007862,0.5434533905537153,98.0356718667217,90.00546621621623,8.947080051972685,0.7227529728656868
Hibernian Training Ground,9,2025,55.92078,-2.9289362,89.91,3,720,365,240.23541088789568,256.1910403554239,-15.955629467528258,26.43827323126812,197.9713598341812,0.406804246878397,87.89982000025059,93.6228018018018,-6.228020092112654,0.7727489593684764
Oasis - John Williams,10,2025,51.4196,-2.5663,153.26999999999998,2,744,315,183.4599096275607,144.0515509511693,39.40835867639143,58.40090271434098,133.24250430019669,0.4225704083063104,58.04760366598037,45.505288804071256,27.35712209704016,0.9249640383626506
Hazelwick School,10,2025,51.124912,-0.165185,224.94,3,744,317,183.56799749293208,182.19173553185863,1.3762619610734628,36.61161926872547,157.7615713257478,0.4012754959676849,58.3512323703651,57.88354805725972,0.7553920912251235,0.8659095917013268
WALC Adult Learning Centre,11,2025,53.49956,-2.525587,50.4,1,48,16,109.06518545461812,108.9375,0.1276854546181258,40.10254824820902,58.31925024086625,0.7610782845882459,1.7453931220464252,1.7445,0.1172098263849611,0.5353459574606196
Oasis - Bank Leaze,11,2025,51.3927,-2.39,49.68,1,720,251,170.54592439234932,148.59860557768926,21.94731881466005,81.84848227438955,139.30219438633364,0.387597878271777,42.96531186971177,37.3945,14.769532142874468,0.9374394453082849
Bannatynes Darlington Head Office,11,2025,54.527344,-1.5457069,52.35,2,288,93,66.22644291385365,96.12250053917492,-29.89605762532126,-6.825863968829045,69.19271641103984,0.5182172549938125,6.201650203844532,8.948642550143266,-31.10203902065269,0.7198389141243804
Iceland Shrewsbury,11,2025,52.689774,-2.751485,100.5,2,48,16,101.674868813109,160.99385883084577,-59.318990017736766,-42.37201127959298,103.19560233181844,0.5964367154628215,1.6278412426839624,2.580901741293532,-36.84549861001996,0.6409909240093733
Metro Centre,11,2025,54.95851,-1.6703782,739.53,2,720,238,110.58547482798028,92.24422268907564,18.341252138904668,47.35926708151346,74.89282139803736,0.5186037638393273,26.49492767523774,22.03,19.8833613685779,0.8118971488379924
