name,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01
Oasis - New Oak,,,,,,183.58745,202.1222,301.7966666666667,211.961,101.78433333333336,79.35633333333334,59.777,34.86441666666667
Oasis - Parkwood,,,,,,431.9764318181818,483.0477272727273,428.4773295454546,330.60247727272724,178.81727272727275,103.98820454545456,65.82493181818182,42.283375
Oasis - Pinewood,,,,,,284.3985982142857,309.37166964285717,290.37163839285716,207.8625089285714,106.69619642857144,71.78133928571428,54.72353571428571,30.930825892857147
Oasis - Short Heath,,,,,,257.94505882352945,318.5950176470588,278.0341970588235,194.29701176470587,94.8641,70.45473529411765,46.98681176470588,28.781723529411764
Oasis - Wintringham,41.49713301282051,62.44758974358975,187.8026314102564,141.72703846153846,339.87519711538465,343.4003573717949,282.91518429487184,242.04708493589743,181.8265528846154,93.2444278846154,46.04684294871795,29.154208333333337,16.879240384615382
Panorama Kitchens,,,,,,,,,,,12.160636261261262,33.86116891891892,20.186819256756756
Parfetts - Birmingham,,51.47837419354838,288.7885483870968,450.36758064516135,523.2860967741935,543.0843000000001,492.39456774193553,413.5789951612903,284.1739225806452,137.31988064516128,92.5732387096774,60.127399999999994,34.49716612903226
Park Hall Hotel,,,,,,,,,,,18.475125,49.16442857142857,30.51811383928571
Shawton Engineering,,,,,,,,,,,28.342434482758623,43.836200000000005,25.933887931034484
Sheldons Bakery,41.111916500994035,65.46356361829025,171.23890159045723,279.48060139165005,349.95371570576543,289.425486083499,273.21411729622264,239.30465805168987,157.8013111332008,75.20800397614313,48.14367693836978,31.33718687872763,20.0854935387674
Smithy's Mushrooms,,,,,,,,,,45.014,,,
Smithy's Mushrooms Phase 2,,,,,,,,,,37.17116598360656,,,
Smithys Mushrooms,71.1115,99.6275,227.7615,325.875,407.877,326.51650000000006,299.4455,277.4105,197.318,45.014,83.007,56.326,32.6375
Smithys Mushrooms Phase 2,,,,,,,,,2.313918032786885,37.17116598360656,49.328008196721306,30.965237704918025,19.00061270491803
Sofina Haverhill,,,138.4605,166.65399999999997,352.229,369.0065,299.308,297.64949999999993,230.484,112.84099999999998,77.41499999999999,67.407,33.353
Swift Dental Group,,,,,,,,,,,11.17922018348624,29.75646559633027,19.062577981651373
Uniroyal,,,,,,,,,,,10.89719766708701,27.170617696511137,18.92774012189996
Valley Hydraulics,,,,,,,,,,,16.798,38.067,29.09725
WALC Adult Learning Centre,,,,,,,,,,,11.99725,33.1085,20.6855
WALC Leigh College,,,,,,,140.0699318181818,117.44983333333332,72.84050757575758,35.83067424242424,11.572625,14.976814393939394,16.895545454545452
WALC Pagefield,,,,,,,,,,,11.057139280677012,31.340934414668546,19.47230077574048
WIENERBERGER FLOPLAST,,,,,,,157.496189890987,142.04901351068904,101.6624143506574,44.30455996474969,30.36867846445377,21.583960823280893,25.41225523510624
Wienerberger - Smeed,,,,,,,,,,,,11.60758536585366,28.87595731707317
